Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-00,,,
u-ch427-n1280-x5-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-01,,,
u-ch427-n1280-x5-ms-01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-02,,,
u-ch427-n1280-x5-ms-02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-03,,,
u-ch427-n1280-x5-ms-03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-04,,,
u-ch427-n1280-x5-ms-04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-05,,,
u-ch427-n1280-x5-ms-05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-06,,,
u-ch427-n1280-x5-ms-06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-07,,,
u-ch427-n1280-x5-ms-07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-08,,,
u-ch427-n1280-x5-ms-08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-09,,,
u-ch427-n1280-x5-ms-09,,Total Size,0

