Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-mf-ens00,,,,
u-ch427-n216-max18-mf-ens00,,Total Size,0,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-mf-ens01, test-m01s00i023.nc,  43M , 44852008 J,43804
, test-m01s00i024.nc,  43M , 44851772 J,43804
, test-m01s00i025.nc,  43M , 44851787 J,43804
, test-m01s00i028.nc,  43M , 44852082 J,43804
, test-m01s00i029.nc,  43M , 44990063 J,43936
, test-m01s00i030.nc,  43M , 44852025 J,43804
, test-m01s00i031.nc,  43M , 44851778 J,43804
, test-m01s00i032.nc,  43M , 44852071 J,43804
, test-m01s00i033.nc,  43M , 44852010 J,43804
, test-m01s00i409.nc,  43M , 44852030 J,43804
, test-m01s00i507.nc,  43M , 44852077 J,43804
, test-m01s00i508.nc,  43M , 44851739 J,43808
, test-m01s00i509.nc,  43M , 44852053 J,43804
, test-m01s01i201.nc,  43M , 44852082 J,43804
, test-m01s01i203.nc,  43M , 44852082 J,43808
, test-m01s01i207.nc,  43M , 44852073 J,43808
, test-m01s01i208.nc,  43M , 44851613 J,43808
, test-m01s01i209.nc,  43M , 44851830 J,43808
, test-m01s01i210.nc,  43M , 44851882 J,43808
, test-m01s01i211.nc,  43M , 44851703 J,43804
, test-m01s01i235.nc,  43M , 44852082 J,43808
, test-m01s01i245.nc,  43M , 44851800 J,43808
, test-m01s01i246.nc,  43M , 44851787 J,43808
, test-m01s01i254.nc,  43M , 44851799 J,43804
, test-m01s01i255.nc,  43M , 44851785 J,43808
, test-m01s01i260.nc,  43M , 44851788 J,43804
, test-m01s01i280.nc,  43M , 44851800 J,43808
, test-m01s01i281.nc,  43M , 44851786 J,43804
, test-m01s01i298.nc,  43M , 44851781 J,43808
, test-m01s01i299.nc,  43M , 44851783 J,43808
, test-m01s02i201.nc,  43M , 44852073 J,43808
, test-m01s02i203.nc,  43M , 44852081 J,43808
, test-m01s02i204.nc,  43M , 44851772 J,43808
, test-m01s02i205.nc,  43M , 44851612 J,43808
, test-m01s02i206.nc,  43M , 44851829 J,43808
, test-m01s02i207.nc,  43M , 44852080 J,43808
, test-m01s02i208.nc,  43M , 44851881 J,43808
, test-m01s03i201.nc,  43M , 44852076 J,43808
, test-m01s03i217.nc,  43M , 44852080 J,43808
, test-m01s03i223.nc,  43M , 44852090 J,43804
, test-m01s03i224.nc,  43M , 44851825 J,43808
, test-m01s03i225.nc,  43M , 44990308 J,43940
, test-m01s03i226.nc,  43M , 44990309 J,43940
, test-m01s03i227.nc,  43M , 44990261 J,43940
, test-m01s03i228.nc,  43M , 44852080 J,43808
, test-m01s03i231.nc,  43M , 44851791 J,43808
, test-m01s03i232.nc,  43M , 44851803 J,43808
, test-m01s03i234.nc,  43M , 44852078 J,43808
, test-m01s03i235.nc,  43M , 44851788 J,43808
, test-m01s03i236.nc,  43M , 44852050 J,43808
, test-m01s03i237.nc,  43M , 44852010 J,43808
, test-m01s03i245.nc,  43M , 44852009 J,43804
, test-m01s03i258.nc,  43M , 44852074 J,43808
, test-m01s03i261.nc,  43M , 44851833 J,43808
, test-m01s03i293.nc,  43M , 44852093 J,43808
, test-m01s03i296.nc,  43M , 44852097 J,43808
, test-m01s03i297.nc,  43M , 44852099 J,43808
, test-m01s03i298.nc,  43M , 44852085 J,43808
, test-m01s03i304.nc,  43M , 44851773 J,43808
, test-m01s03i305.nc,  43M , 44852015 J,43808
, test-m01s03i306.nc,  43M , 44851773 J,43808
, test-m01s03i307.nc,  43M , 44852023 J,43808
, test-m01s03i308.nc,  43M , 44851776 J,43804
, test-m01s03i309.nc,  43M , 44851764 J,43804
, test-m01s03i310.nc,  43M , 44851749 J,43804
, test-m01s03i332.nc,  43M , 44852070 J,43804
, test-m01s03i340.nc,  43M , 44851758 J,43804
, test-m01s03i353.nc,  43M , 44851803 J,43804
, test-m01s03i365.nc,  43M , 44990025 J,43936
, test-m01s03i366.nc,  43M , 44990025 J,43940
, test-m01s03i367.nc,  43M , 44990022 J,43940
, test-m01s03i392.nc,  43M , 44851781 J,43804
, test-m01s03i394.nc,  43M , 44990024 J,43936
, test-m01s03i395.nc,  43M , 44852050 J,43804
, test-m01s03i662.nc,  43M , 44851800 J,43804
, test-m01s03i663.nc,  43M , 44851800 J,43804
, test-m01s04i203.nc,  43M , 44852089 J,43804
, test-m01s04i204.nc,  43M , 44852089 J,43808
, test-m01s05i205.nc,  43M , 44852089 J,43804
, test-m01s05i206.nc,  43M , 44852089 J,43804
, test-m01s05i214.nc,  43M , 44852018 J,43808
, test-m01s05i215.nc,  43M , 44852018 J,43804
, test-m01s05i216.nc,  43M , 44852023 J,43804
, test-m01s05i231.nc,  43M , 44851776 J,43804
, test-m01s05i232.nc,  43M , 44851764 J,43804
, test-m01s05i269.nc,  43M , 44852027 J,43804
, test-m01s05i270.nc,  43M , 44851752 J,43804
, test-m01s05i272.nc,  43M , 44851758 J,43804
, test-m01s05i277.nc,  43M , 44851803 J,43804
, test-m01s05i278.nc,  43M , 44851803 J,43804
, test-m01s05i279.nc,  43M , 44851803 J,43808
, test-m01s08i023.nc,  43M , 44852012 J,43804
, test-m01s08i208.nc,  43M , 44852063 J,43804
, test-m01s08i209.nc,  43M , 44852060 J,43804
, test-m01s08i231.nc,  43M , 44852087 J,43804
, test-m01s08i233.nc,  43M , 44852088 J,43804
, test-m01s08i234.nc,  43M , 44852024 J,43804
, test-m01s08i235.nc,  43M , 44852087 J,43804
, test-m01s15i215.nc,  43M , 44990218 J,43936
, test-m01s16i222.nc,  43M , 44851981 J,43804
, test-m01s30i402.nc,  43M , 44851797 J,43804
, test-m01s30i403.nc,  43M , 44851776 J,43804
, test-m01s30i404.nc,  43M , 44852073 J,43804
, test-m01s30i405.nc,  43M , 44852076 J,43808
, test-m01s30i406.nc,  43M , 44851617 J,43804
, test-m01s30i407.nc,  43M , 44851800 J,43804
, test-m01s30i408.nc,  43M , 44851800 J,43804
, test-m01s30i419.nc,  43M , 44851779 J,43804
, test-m01s30i420.nc,  43M , 44851798 J,43808
, test-m01s30i421.nc,  43M , 44851797 J,43804
, test-m01s30i428.nc,  43M , 44851800 J,43804
, test-m01s30i429.nc,  43M , 44851800 J,43804
u-ch427-n216-max18-mf-ens01,,Total Size,5024658583,4907436

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-mf-ens02, test-m01s00i023.nc,  52M , 53809960 J,52552
, test-m01s00i024.nc,  52M , 53809724 J,52552
, test-m01s00i025.nc,  52M , 53809739 J,52552
, test-m01s00i028.nc,  52M , 53810034 J,52552
, test-m01s00i029.nc,  52M , 53975663 J,52712
, test-m01s00i030.nc,  52M , 53809977 J,52552
, test-m01s00i031.nc,  52M , 53809730 J,52552
, test-m01s00i032.nc,  52M , 53810023 J,52552
, test-m01s00i033.nc,  52M , 53809962 J,52552
