SUITE,TOOK SIZE,TOOK TOTAL,TOOK MEAN,TOOK 6 TOTAL,TOOK 8 TOTAL,TOOK 12 TOTAL,TOOK TI,TOOK 6 TI,TOOK 8 TI,TOOK 12 TI
u-ch427-n216-start-paper-00,96,117.9,0.99,37.42,35.96,31.26,94.86,14.39,12.93,8.23
u-ch427-n216-start-paper-01,96,123.08,1.04,37.41,36.17,31.29,100.03,14.36,13.12,8.24
u-ch427-n216-start-paper-10,96,107.03,0.94,31.46,30.01,25.31,89.97,14.4,12.94,8.25
u-ch427-n216-start-paper-20,96,106.05,0.95,29.56,28.15,23.4,90.87,14.38,12.98,8.22
u-ch427-n216-start-paper-30,96,113.23,1.05,26.73,25.35,20.69,100.71,14.2,12.83,8.17
u-ch427-n216-start-paper-50,96,112.09,0.96,34.08,32.53,27.97,92.5,14.49,12.94,8.39
u-ch427-n216-template-start-paper,96,131.58,1.14,36.57,35.16,30.48,109.33,14.33,12.91,8.23
u-ch427-n216-template-start-paper-00,96,110.27,0.95,33.6,32.17,27.38,91.32,14.64,13.22,8.43
u-ch427-n512-start-paper-00,144,5249.43,35.28,1013.22,757.34,575.63,5079.83,843.62,587.74,406.03
u-ch427-n512-start-paper-01,144,5559.36,37.38,1071.22,800.12,605.16,5382.79,894.65,623.55,428.59
u-ch427-n512-start-paper-10,144,5286.01,35.15,1063.86,808.69,627.01,5062.11,839.96,584.78,403.11
u-ch427-n512-start-paper-20,144,5124.56,34.41,997.47,748.27,565.73,4955.18,828.1,578.89,396.35
u-ch427-n512-start-paper-30,144,5287.56,35.52,1030.3,768.94,583.88,5114.95,857.69,596.33,411.27
u-ch427-n512-template-start-paper,144,5211.11,34.94,1021.92,766.43,583.19,5031.79,842.6,587.11,403.87
u-ch427-n512-template-start-paper-00,103,3867.39,35.9,791.68,590.57,465.54,3698.06,622.35,421.23,296.21
u-ch427-n96-start-paper-00,72,58.07,0.63,22.35,17.65,17.19,45.2,9.49,4.78,4.32
u-ch427-n96-start-paper-01,72,53.67,0.6,19.12,15.22,14.3,43.39,8.84,4.94,4.02
u-ch427-n96-start-paper-10,72,55.09,0.57,22.8,18.38,17.99,41.11,8.82,4.41,4.01
u-ch427-n96-start-paper-100,72,55.57,0.64,19.03,14.28,13.83,46.05,9.51,4.76,4.31
u-ch427-n96-start-paper-150,72,53.68,0.6,19.65,14.99,14.82,43.09,9.07,4.41,4.24
u-ch427-n96-start-paper-20,72,57.8,0.63,22.23,17.05,16.47,45.65,10.07,4.89,4.31
u-ch427-n96-start-paper-200,72,49.14,0.57,16.69,12.27,11.88,41.27,8.82,4.4,4.01
u-ch427-n96-start-paper-30,72,52.13,0.58,19.56,15.14,14.75,41.41,8.84,4.42,4.03
u-ch427-n96-start-paper-50,72,54.42,0.59,21.05,17.71,16.25,42.18,8.82,5.47,4.02
u-ch427-n96-template-start-paper,72,58.4,0.57,26.03,21.6,21.23,41.19,8.82,4.39,4.02
u-ch427-n96-template-start-paper-00,72,50.68,0.6,16.91,12.31,11.92,42.95,9.17,4.58,4.18
