SUITE,TOOK SIZE,TOOK 0,TOOK TOTAL,TOOK MEAN,TOOK 6 MEAN,TOOK 8 MEAN,TOOK 12 MEAN,TOOK 6 TOTAL,TOOK 8 TOTAL,TOOK 12 TOTAL,TOOK TI,TOOK 6 TI,TOOK 8 TI,TOOK 12 TI
u-ch427-n216-start-paper-00,96,23.03,117.9,0.99,0.9,1.08,1.03,37.42,35.96,31.26,94.86,14.39,12.93,8.23
u-ch427-n216-start-paper-01,96,23.05,123.08,1.04,0.9,1.09,1.03,37.41,36.17,31.29,100.03,14.36,13.12,8.24
u-ch427-n216-start-paper-10,96,17.06,107.03,0.94,0.9,1.08,1.03,31.46,30.01,25.31,89.97,14.4,12.94,8.25
u-ch427-n216-start-paper-20,96,15.18,106.05,0.95,0.9,1.08,1.03,29.56,28.15,23.4,90.87,14.38,12.98,8.22
u-ch427-n216-start-paper-30,96,12.52,113.23,1.05,0.89,1.07,1.02,26.73,25.35,20.69,100.71,14.2,12.83,8.17
u-ch427-n216-start-paper-50,96,19.59,112.09,0.96,0.91,1.08,1.05,34.08,32.53,27.97,92.5,14.49,12.94,8.39
u-ch427-n512-start-paper-00,144,169.6,5249.43,35.28,35.15,32.65,33.84,1013.22,757.34,575.63,5079.83,843.62,587.74,406.03
u-ch427-n512-start-paper-01,144,176.57,5559.36,37.38,37.28,34.64,35.72,1071.22,800.12,605.16,5382.79,894.65,623.55,428.59
u-ch427-n512-start-paper-10,144,223.91,5286.01,35.15,35.0,32.49,33.59,1063.86,808.69,627.01,5062.11,839.96,584.78,403.11
u-ch427-n512-start-paper-20,144,169.38,5124.56,34.41,34.5,32.16,33.03,997.47,748.27,565.73,4955.18,828.1,578.89,396.35
u-ch427-n512-start-paper-30,144,172.61,5287.56,35.52,35.74,33.13,34.27,1030.3,768.94,583.88,5114.95,857.69,596.33,411.27
u-ch427-n96-start-paper-00,72,12.87,58.07,0.63,0.79,0.53,0.72,22.35,17.65,17.19,45.2,9.49,4.78,4.32
u-ch427-n96-start-paper-01,72,10.28,53.67,0.6,0.74,0.55,0.67,19.12,15.22,14.3,43.39,8.84,4.94,4.02
u-ch427-n96-start-paper-10,72,13.98,55.09,0.57,0.73,0.49,0.67,22.8,18.38,17.99,41.11,8.82,4.41,4.01
u-ch427-n96-start-paper-100,72,9.52,55.57,0.64,0.79,0.53,0.72,19.03,14.28,13.83,46.05,9.51,4.76,4.31
u-ch427-n96-start-paper-20,72,12.16,57.8,0.63,0.84,0.54,0.72,22.23,17.05,16.47,45.65,10.07,4.89,4.31
u-ch427-n96-start-paper-30,72,10.72,52.13,0.58,0.74,0.49,0.67,19.56,15.14,14.75,41.41,8.84,4.42,4.03
u-ch427-n96-start-paper-50,72,12.23,54.42,0.59,0.73,0.61,0.67,21.05,17.71,16.25,42.18,8.82,5.47,4.02
