Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x0, true.x0_00.nc, 378M ,
, true.x0_01.nc, 366M ,
, true.x0_02.nc, 366M ,
, true.x0_03.nc, 366M ,
, true.x0_04.nc, 366M ,
, true.x0_05.nc, 366M ,
, true.x0_06.nc, 366M ,
, true.x0_07.nc, 366M ,
, true.x0_08.nc, 366M ,
, true.x0_09.nc, 366M ,
, true.x0_10.nc, 366M ,
, true.x0_11.nc, 366M ,
, true.x0_12.nc, 366M ,
, true.x0_13.nc, 366M ,
, true.x0_14.nc, 366M ,
, true.x0_15.nc, 366M ,
, true.x0_16.nc, 366M ,
, true.x0_17.nc, 366M ,
, true.x0_18.nc, 366M ,
, true.x0_19.nc, 366M ,
, true.x0_20.nc, 366M ,
, true.x0_21.nc, 366M ,
, true.x0_22.nc, 366M ,
, true.x0_23.nc, 366M ,
, true.x0_24.nc, 366M ,
, true.x0_25.nc, 366M ,
, true.x0_26.nc, 366M ,
, true.x0_27.nc, 366M ,
, true.x0_28.nc, 366M ,
, true.x0_29.nc, 366M ,
, true.x0_30.nc, 366M ,
, true.x0_31.nc, 366M ,
, true.x0_32.nc, 366M ,
, true.x0_33.nc, 366M ,
, true.x0_34.nc, 366M ,
, true.x0_35.nc, 366M ,
, true.x0_36.nc, 366M ,
, true.x0_37.nc, 366M ,
, true.x0_38.nc, 366M ,
, true.x0_39.nc, 366M ,
, true.x0_40.nc, 366M ,
, true.x0_41.nc, 366M ,
, true.x0_42.nc, 366M ,
, true.x0_43.nc, 366M ,
, true.x0_44.nc, 366M ,
, true.x0_45.nc, 366M ,
, true.x0_46.nc, 366M ,
, true.x0_47.nc, 366M ,
, true.x0_48.nc, 366M ,
, true.x0_49.nc, 366M ,
, true.x0_50.nc, 366M ,
, true.x0_51.nc, 366M ,
, true.x0_52.nc, 366M ,
, true.x0_53.nc, 366M ,
, true.x0_54.nc, 366M ,
, true.x0_55.nc, 366M ,
, true.x0_56.nc, 366M ,
, true.x0_57.nc, 366M ,
, true.x0_58.nc, 366M ,
, true.x0_59.nc, 366M ,
, true.x0_60.nc, 366M ,
, true.x0_61.nc, 366M ,
