Total Size,u-ch427-n216-max18-mf-ens00,0,0
Total Size,u-ch427-n216-max18-mf-ens01,1,5024658583
Total Size,u-ch427-n216-max18-mf-ens02,2,6028198039
Total Size,u-ch427-n216-max18-mf-ens03,3,7031737495
Total Size,u-ch427-n216-max18-mf-ens04,4,8035276951
Total Size,u-ch427-n216-max18-mf-ens05,5,9038816407
Total Size,u-ch427-n216-max18-mf-ens06,6,10042355863
Total Size,u-ch427-n216-max18-mf-ens07,7,11045895319
Total Size,u-ch427-n216-max18-mf-ens08,8,12049434775
Total Size,u-ch427-n216-max18-mf-ens09,9,13052974231
Total Size,u-ch427-n216-max18-mf-ens10,10,14056513687
Total Size,u-ch427-n216-max18-mf-ens11,11,15060053143
Total Size,u-ch427-n216-max18-mf-ens12,12,16063592599
Total Size,u-ch427-n216-max18-mf-ens13,13,17067132055
Total Size,u-ch427-n216-max18-mf-ens14,14,18070671511
Total Size,u-ch427-n216-max18-mf-ens15,15,19074210967
Total Size,u-ch427-n216-max18-mf-ens16,16,20077750423
Total Size,u-ch427-n216-max18-mf-ens17,17,21081289879
Total Size,u-ch427-n216-max18-mf-ens18,18,22084829335
