SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-start-paper-00, 134.172 ,40.51,,,0,,22,2022-06-13T19:20:45Z,2022-06-14T01:50:40Z,2022-06-14T01:53:17Z,SUCCEEDED,1815254,47454,0.881
u-ch427-n216-start-paper-01,,,,,1,,22,,,,,,,
u-ch427-n216-start-paper-02,,,,,2,,36,,,,,,,
u-ch427-n216-start-paper-03,,,,,3,,50,,,,,,,
u-ch427-n216-start-paper-04, 176.097 ,52.61,,,4,,64,2022-06-21T22:41:29Z,2022-06-21T23:46:58Z,2022-06-21T23:50:43Z,SUCCEEDED,1890494,83960,1.148
u-ch427-n216-start-paper-05, 172.669 ,54.62,,,5,,78,2022-06-21T22:37:06Z,2022-06-21T22:54:29Z,2022-06-21T22:58:35Z,SUCCEEDED,1890480,224632,1.593
u-ch427-n216-start-paper-06, 187.888 ,58.94,,,6,,92,2022-06-21T22:27:19Z,2022-06-21T23:48:30Z,2022-06-21T23:52:59Z,SUCCEEDED,1890463,84128,1.248
u-ch427-n216-start-paper-07, 183.668 ,62.25,,,7,,106,2022-06-21T22:38:02Z,2022-06-21T23:51:41Z,2022-06-21T23:56:03Z,SUCCEEDED,1890482,141623,1.258
u-ch427-n216-start-paper-08, 183.346 ,65.05,,,8,,120,2022-06-21T23:08:46Z,2022-06-22T00:01:05Z,2022-06-22T00:05:51Z,SUCCEEDED,1890600,167818,1.311
u-ch427-n216-start-paper-09, 180.339 ,65.15,,,9,,134,2022-06-21T22:39:13Z,2022-06-21T23:35:08Z,2022-06-21T23:39:52Z,SUCCEEDED,1890485,227289,1.281
u-ch427-n216-start-paper-10, 191.793 ,70.39,,,10,,148,2022-06-21T22:39:57Z,2022-06-21T23:41:38Z,2022-06-21T23:46:57Z,SUCCEEDED,1890490,25378,1.410
u-ch427-n216-start-paper-11, 196.748 ,77.03,,,11,,162,2022-06-21T23:10:17Z,2022-06-21T23:54:44Z,2022-06-22T00:00:11Z,SUCCEEDED,1890613,135370,1.463
u-ch427-n216-start-paper-12, 199.896 ,75.00,,,12,,176,2022-06-21T23:40:51Z,2022-06-22T00:06:24Z,2022-06-22T00:11:58Z,SUCCEEDED,1890714,225911,1.417
u-ch427-n216-start-paper-13, 163.370 ,49.30,,,3,,50,2022-06-21T22:29:59Z,2022-06-21T23:11:57Z,2022-06-21T23:15:27Z,SUCCEEDED,1890467,88751,1.149
u-ch427-n216-start-paper-14,,,,,,,,,,,,,,
u-ch427-n216-start-paper-15,,,,,,,,,,,,,,
u-ch427-n216-start-paper-16,,,,,6,,92,,,,,,,
u-ch427-n216-start-paper-17,,,,,7,,106,,,,,,,
u-ch427-n216-start-paper-18,,,,,8,,120,,,,,,,
u-ch427-n216-start-paper-19,,,,,9,,134,,,,,,,
u-ch427-n216-start-paper-20, 289.298 ,105.00,,,20,,288,2022-06-14T13:56:27Z,2022-06-14T14:00:13Z,2022-06-14T14:09:09Z,SUCCEEDED,1819479,45758,5.553
u-ch427-n216-start-paper-21,,,,,21,,302,,,,,,,
u-ch427-n216-start-paper-22,,,,,22,,316,,,,,,,
u-ch427-n216-start-paper-23,,,,,3,,50,,,,,,,
u-ch427-n216-start-paper-24,,,,,4,,64,,,,,,,
u-ch427-n216-start-paper-25,,,,,5,,78,,,,,,,
u-ch427-n216-start-paper-26,,,,,6,,92,,,,,,,
u-ch427-n216-start-paper-27,,,,,7,,106,,,,,,,
u-ch427-n216-start-paper-28,,,,,8,,120,,,,,,,
