Total Size,u-ch427-n1280-start-paper-pack5-x0,0,23983328
Total Size,u-ch427-n1280-start-paper-pack5-x1,1,6114676
Total Size,u-ch427-n1280-start-paper-pack5-x2,2,0
Total Size,u-ch427-n1280-start-paper-pack5-x3,3,0
Total Size,u-ch427-n1280-start-paper-pack5-x4,4,0
Total Size,u-ch427-n1280-start-paper-pack5-x5,5,0
Total Size,u-ch427-n1280-start-paper-pack5-x6,6,0
Total Size,u-ch427-n1280-start-paper-pack5-x7,7,0
Total Size,u-ch427-n1280-start-paper-pack5-x8,8,12915776
Total Size,u-ch427-n1280-start-paper-pack5-x9,9,5758124
